Time,CAN,Dir,Bit,ID(hex),DLC,D0,D1,D2,D3,D4,D5,D6,D7,,,,,,,,,,,,,,,,,,,
00:00.3,0,RX,29,19F20138,8,70,1A,0,FF,FF,FF,FF,A3,,,,,,,,,,,,,,,,,,,
00:00.3,0,RX,29,19F20138,8,71,8E,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:00.3,0,RX,29,19F20138,8,72,4F,0,FF,FF,FF,FF,7F,,1438.8,,,,,,,,,,,,,,,,,
00:00.3,0,RX,29,19F20138,7,73,0,0,0,0,7F,7F,,,5179680,,,,,,,,,,,,,,,,,
00:00.8,0,RX,29,19F20138,8,80,1A,0,FF,FF,FF,FF,A3,,4F0920,,#NAME?,,,,,,,,,,,,,,,
00:00.8,0,RX,29,19F20138,8,81,8E,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:00.8,0,RX,29,19F20138,8,82,4F,0,FF,FF,FF,FF,7F,,4F0920,,,,,,,,,,,,,,,,,
00:00.8,0,RX,29,19F20138,7,83,0,0,0,0,7F,7F,,,5179680,,,,,,,,,,,,,,,,,
00:01.3,0,RX,29,19F20138,8,90,1A,0,FF,FF,FF,FF,A3,,,,,,,,,,,,,,,,,,,
00:01.3,0,RX,29,19F20138,8,91,8E,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:01.3,0,RX,29,19F20138,8,92,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
00:01.3,0,RX,29,19F20138,7,93,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
00:01.8,0,RX,29,19F20138,8,A0,1A,0,FF,FF,FF,FF,A3,,,,,,,,,,,,,,,,,,,
00:01.8,0,RX,29,19F20138,8,A1,8E,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:01.8,0,RX,29,19F20138,8,A2,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
